symbol,timeframe,left_path,right_path,relation,overlap_or_gap_seconds
SKYAIUSDT,15m,SKYAIUSDT_15m_limit500_20260627_190626_enriched_candles.csv,SKYAIUSDT_15m_limit500_20260627_190626_enriched_candles.jsonl,EXACT_COVERAGE,0
SKYAIUSDT,15m,SKYAIUSDT_15m_limit500_20260627_190626_enriched_candles.csv,SKYAIUSDT_15m_limit500_20260707_181108_enriched_candles.csv,GAP,412200
SKYAIUSDT,15m,SKYAIUSDT_15m_limit500_20260627_190626_enriched_candles.csv,SKYAIUSDT_15m_limit500_20260707_181108_enriched_candles.jsonl,GAP,412200
SKYAIUSDT,15m,SKYAIUSDT_15m_limit500_20260627_190626_enriched_candles.jsonl,SKYAIUSDT_15m_limit500_20260707_181108_enriched_candles.csv,GAP,412200
SKYAIUSDT,15m,SKYAIUSDT_15m_limit500_20260627_190626_enriched_candles.jsonl,SKYAIUSDT_15m_limit500_20260707_181108_enriched_candles.jsonl,GAP,412200
SKYAIUSDT,15m,SKYAIUSDT_15m_limit500_20260707_181108_enriched_candles.csv,SKYAIUSDT_15m_limit500_20260707_181108_enriched_candles.jsonl,EXACT_COVERAGE,0
TACUSDT,15m,TACUSDT_15m_limit100_20260629_143244_enriched_candles.csv,TACUSDT_15m_limit500_20260707_180859_enriched_candles.csv,GAP,255600
TACUSDT,15m,TACUSDT_15m_limit100_20260629_143244_enriched_candles.csv,TACUSDT_15m_limit500_20260707_180859_enriched_candles.jsonl,GAP,255600
TACUSDT,15m,TACUSDT_15m_limit100_20260629_143244_enriched_candles.csv,TACUSDT_15m_limit500_20260708_180128_enriched_candles.csv,GAP,342000
TACUSDT,15m,TACUSDT_15m_limit100_20260629_143244_enriched_candles.csv,TACUSDT_15m_limit500_20260708_180203_enriched_candles.csv,GAP,342000
TACUSDT,15m,TACUSDT_15m_limit500_20260707_180859_enriched_candles.csv,TACUSDT_15m_limit500_20260707_180859_enriched_candles.jsonl,EXACT_COVERAGE,0
TACUSDT,15m,TACUSDT_15m_limit500_20260707_180859_enriched_candles.csv,TACUSDT_15m_limit500_20260708_180128_enriched_candles.csv,PARTIAL_OVERLAP,361800
TACUSDT,15m,TACUSDT_15m_limit500_20260707_180859_enriched_candles.csv,TACUSDT_15m_limit500_20260708_180203_enriched_candles.csv,PARTIAL_OVERLAP,361800
TACUSDT,15m,TACUSDT_15m_limit500_20260707_180859_enriched_candles.jsonl,TACUSDT_15m_limit500_20260708_180128_enriched_candles.csv,PARTIAL_OVERLAP,361800
