account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
1.8852,14,True,Failed Base Vacuum Ignition,Distribution Risk,0.6263,Medium,0.01468945,1.9595,142,27739602.0,-0.02,OI ثابت,Failed Base Ignition,1.871,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 20:30:00 UTC,2335
1.8769,13,True,Failed Base Vacuum Ignition,Distribution Risk,0.6235,Low,0.01924619,1.9265,143,27741112.0,0.01,OI ثابت,Failed Base Ignition,1.8731,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 20:45:00 UTC,2922
1.881,12,True,Failed Base Vacuum Ignition,Distribution Risk,0.6216,Medium,0.02236165,1.9163,144,27740831.0,-0.0010129370444847345,OI ثابت,Failed Base Ignition,1.8756,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 21:00:00 UTC,3999
1.8843,11,True,Failed Base Vacuum Ignition,Distribution Risk,0.6203,Low,0.02450427,1.9155,145,27748812.0,0.03,OI ثابت,Failed Base Ignition,1.8808,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 21:15:00 UTC,2751
1.881,10,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6219,Medium,0.02186847,1.9028,146,27754433.0,0.02,OI ثابت,Mixed Structure,1.8815,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 21:30:00 UTC,2003
1.8736,9,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6274,Medium,0.01291042,1.9053,147,27741006.0,-0.05,Price-led Base Move Without OI Expansion,Mixed Structure,1.8823,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 21:45:00 UTC,2786
1.8935,8,True,Late Base Crowding Risk,Neutral / Unclear,0.6293,Medium,0.00985222,1.9138,148,27724318.0,-0.06,Price-led Base Move Without OI Expansion,Mixed Structure,1.8846,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 22:00:00 UTC,2298
1.8902,7,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6281,Medium,0.01178156,1.8977,149,27724211.0,-0.0003859427669239691,Price-led Base Move Without OI Expansion,Mixed Structure,1.8858,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 22:15:00 UTC,1570
1.8952,6,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6218,Medium,0.02203281,1.9095,150,27694247.0,-0.11,OI ثابت,Mixed Structure,1.8871,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 22:30:00 UTC,1925
1.891,5,True,Failed Base Vacuum Ignition,Distribution Risk,0.6174,Medium,0.02931649,1.9283,151,27673887.0,-0.07,OI ثابت,Failed Base Ignition,1.885,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-18 22:45:00 UTC,4043
1.8703,4,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6213,Medium,0.0228553,1.8852,152,27658572.0,-0.06,OI ثابت,Mixed Structure,1.8863,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 23:00:00 UTC,2024
1.8506,3,True,Primed Base for Price-led Vacuum Ignition,Neutral / Unclear,0.6205,Medium,0.02417405,1.8703,153,27653683.0,-0.02,OI ثابت,Mixed Structure,1.8849,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,,False,BEATUSDT,2026-05-18 23:15:00 UTC,2994
1.8514,2,False,Not Applicable: No Base,Bullish but Late,0.6233,Medium,0.01957324,1.8785,154,27645678.0,-0.03,OI ثابت,Late Long Crowding,1.8821,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-18 23:30:00 UTC,1770
1.845,1,False,Not Applicable: No Base,Bullish but Late,0.6255,Medium,0.01598721,1.8629,155,27640784.0,-0.02,OI ثابت,Late Long Crowding,1.8813,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-18 23:45:00 UTC,1850
1.8417,0,False,Not Applicable: No Base,Bullish but Late,0.6355,Medium,0.0,1.8604,156,27632313.0,-0.03,OI ثابت,Late Long Crowding,1.8813,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-19 00:00:00 UTC,4146
1.8482,1,False,Not Applicable: No Base,Bullish but Late,0.6329,Medium,0.00142203,1.8852,157,27625739.0,-0.02,OI ثابت,Late Long Crowding,1.8822,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-19 00:15:00 UTC,2789
1.8281,24,False,Not Applicable: No Base,Bullish but Late,0.6338,Medium,0.0022089,1.8727,158,27619206.0,-0.02,OI ثابت,Late Long Crowding,1.8825,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-19 00:30:00 UTC,2537
1.8201,23,False,Not Applicable: No Base,Bullish but Late,0.6303,Medium,0.00777408,1.8662,159,27613781.0,-0.02,OI ثابت,Late Long Crowding,1.8812,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-19 00:45:00 UTC,2246
1.8305,24,False,Not Applicable: No Base,Bullish but Late,0.6298,Medium,0.02159416,1.8653,160,27595965.0,-0.06,OI ثابت,Late Long Crowding,1.8839,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-19 01:00:00 UTC,1863
1.8193,24,False,Not Applicable: No Base,Bullish but Late,0.6266,Low,0.02952442,1.8458,161,27608076.0,0.04,OI ثابت,Late Long Crowding,1.884,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-19 01:15:00 UTC,1779
1.8177,24,False,Not Applicable: No Base,Bullish but Late,0.627,Medium,0.04098884,1.8482,162,27612653.0,0.02,OI ثابت,Late Long Crowding,1.8837,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Late / Risk State,,False,BEATUSDT,2026-05-19 01:30:00 UTC,1816
1.8074,24,True,Primed Base for Price-led Vacuum Ignition,Distribution Risk,0.6328,Medium,0.03871681,1.8011,163,27612842.0,0.0006844688194212993,Delayed Constructive OI Reload From Base,Failed Base Ignition,1.8848,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-19 01:45:00 UTC,1925
1.7894,23,True,Primed Base for Price-led Vacuum Ignition,Distribution Risk,0.6286,Low,0.04565702,1.805,164,27631250.0,0.07,OI صاعد انفجاري,Failed Base Ignition,1.884,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,BEATUSDT,2026-05-19 02:00:00 UTC,2183
1.8098,22,True,Not Applicable: Reset branch has priority,Neutral / Unclear,0.6281,Medium,0.04648941,1.8313,165,27619295.0,-0.04,Delayed Constructive OI Reload After Reset,Mixed Structure,1.8863,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Early-Live Structure,,False,BEATUSDT,2026-05-19 02:15:00 UTC,1646
